2026-07-15 23:31:32 | Logging started: ./writer/Subject_independent_AAD/AVEDao/3.0s/result//Train3.0s_sub2.log
2026-07-15 23:31:47 | TestSub: S2 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6980 | Valid Loss 0.6927 | Train Acc 50.9306 | Valid Acc 52.1250
2026-07-15 23:31:52 | TestSub: S2 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6920 | Valid Loss 0.6937 | Train Acc 52.5069 | Valid Acc 51.5000
2026-07-15 23:31:57 | TestSub: S2 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6891 | Valid Loss 0.6942 | Train Acc 53.8611 | Valid Acc 50.9375
2026-07-15 23:32:02 | TestSub: S2 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6854 | Valid Loss 0.6986 | Train Acc 54.9236 | Valid Acc 49.3750
2026-07-15 23:32:07 | TestSub: S2 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6840 | Valid Loss 0.6974 | Train Acc 55.5625 | Valid Acc 49.3750
2026-07-15 23:32:12 | TestSub: S2 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6795 | Valid Loss 0.6943 | Train Acc 57.2917 | Valid Acc 52.0000
2026-07-15 23:32:17 | TestSub: S2 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6763 | Valid Loss 0.6951 | Train Acc 57.1528 | Valid Acc 51.5000
2026-07-15 23:32:22 | TestSub: S2 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6724 | Valid Loss 0.6958 | Train Acc 58.3611 | Valid Acc 51.2500
2026-07-15 23:32:27 | TestSub: S2 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6710 | Valid Loss 0.6987 | Train Acc 58.4931 | Valid Acc 50.1875
2026-07-15 23:32:32 | TestSub: S2 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6649 | Valid Loss 0.6949 | Train Acc 59.8194 | Valid Acc 51.3125
2026-07-15 23:32:37 | TestSub: S2 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6622 | Valid Loss 0.6941 | Train Acc 59.9792 | Valid Acc 51.0000
2026-07-15 23:32:42 | TestSub: S2 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6590 | Valid Loss 0.6937 | Train Acc 60.5833 | Valid Acc 52.4375
2026-07-15 23:32:47 | TestSub: S2 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6556 | Valid Loss 0.6908 | Train Acc 61.0486 | Valid Acc 53.5625
2026-07-15 23:32:52 | TestSub: S2 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6540 | Valid Loss 0.6976 | Train Acc 61.2847 | Valid Acc 51.6875
