2026-07-16 00:24:21 | Logging started: ./writer/Subject_independent_AAD/AVEDav/10.0s/result//Train10.0s_sub2.log
2026-07-16 00:24:34 | TestSub: S2 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6969 | Valid Loss 0.6969 | Train Acc 49.2308 | Valid Acc 43.9732
2026-07-16 00:24:38 | TestSub: S2 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6906 | Valid Loss 0.6970 | Train Acc 53.5577 | Valid Acc 48.4375
2026-07-16 00:24:42 | TestSub: S2 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6855 | Valid Loss 0.6929 | Train Acc 55.5288 | Valid Acc 50.2232
2026-07-16 00:24:47 | TestSub: S2 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6831 | Valid Loss 0.6985 | Train Acc 55.6731 | Valid Acc 46.8750
2026-07-16 00:24:51 | TestSub: S2 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6762 | Valid Loss 0.6980 | Train Acc 59.3990 | Valid Acc 50.2232
2026-07-16 00:24:55 | TestSub: S2 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6759 | Valid Loss 0.7013 | Train Acc 58.1490 | Valid Acc 48.6607
2026-07-16 00:24:59 | TestSub: S2 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6699 | Valid Loss 0.7011 | Train Acc 59.8077 | Valid Acc 51.7857
2026-07-16 00:25:03 | TestSub: S2 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6649 | Valid Loss 0.7015 | Train Acc 60.4087 | Valid Acc 49.3304
2026-07-16 00:25:07 | TestSub: S2 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6596 | Valid Loss 0.6981 | Train Acc 61.2981 | Valid Acc 49.5536
2026-07-16 00:25:11 | TestSub: S2 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6555 | Valid Loss 0.7024 | Train Acc 61.3942 | Valid Acc 49.5536
2026-07-16 00:25:16 | TestSub: S2 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6477 | Valid Loss 0.6963 | Train Acc 62.9087 | Valid Acc 50.6696
2026-07-16 00:25:20 | TestSub: S2 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6445 | Valid Loss 0.6991 | Train Acc 63.6298 | Valid Acc 51.5625
2026-07-16 00:25:24 | TestSub: S2 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6439 | Valid Loss 0.7229 | Train Acc 62.8125 | Valid Acc 46.6518
2026-07-16 00:25:28 | TestSub: S2 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6330 | Valid Loss 0.7111 | Train Acc 64.5433 | Valid Acc 50.4464
2026-07-16 00:25:32 | TestSub: S2 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6339 | Valid Loss 0.6999 | Train Acc 64.5673 | Valid Acc 53.3482
2026-07-16 00:25:36 | TestSub: S2 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6310 | Valid Loss 0.7032 | Train Acc 64.3510 | Valid Acc 49.7768
2026-07-16 00:25:40 | TestSub: S2 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6221 | Valid Loss 0.7114 | Train Acc 65.4808 | Valid Acc 49.5536
2026-07-16 00:25:46 | TestSub: S2 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6219 | Valid Loss 0.7213 | Train Acc 64.2788 | Valid Acc 47.0982
2026-07-16 00:25:50 | TestSub: S2 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6195 | Valid Loss 0.7135 | Train Acc 64.6635 | Valid Acc 49.3304
2026-07-16 00:25:54 | TestSub: S2 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6228 | Valid Loss 0.7227 | Train Acc 64.1346 | Valid Acc 47.9911
2026-07-16 00:25:58 | TestSub: S2 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6176 | Valid Loss 0.7158 | Train Acc 65.4327 | Valid Acc 50.8929
2026-07-16 00:26:02 | TestSub: S2 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6083 | Valid Loss 0.7168 | Train Acc 66.1779 | Valid Acc 48.8839
