2026-07-15 11:54:04 | Logging started: ./writer/Subject_independent_AAD/DTU/3.0s/result//Train3.0s_sub15.log
2026-07-15 11:54:40 | TestSub: S15 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6909 | Valid Loss 0.6947 | Train Acc 54.0207 | Valid Acc 51.6741
2026-07-15 11:54:49 | TestSub: S15 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6596 | Valid Loss 0.7018 | Train Acc 59.7411 | Valid Acc 51.6741
2026-07-15 11:54:59 | TestSub: S15 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6455 | Valid Loss 0.7252 | Train Acc 62.0228 | Valid Acc 49.8884
2026-07-15 11:55:08 | TestSub: S15 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6309 | Valid Loss 0.7299 | Train Acc 63.6114 | Valid Acc 50.4464
2026-07-15 11:55:18 | TestSub: S15 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6200 | Valid Loss 0.7386 | Train Acc 65.2262 | Valid Acc 52.5670
2026-07-15 11:55:27 | TestSub: S15 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6100 | Valid Loss 0.7538 | Train Acc 65.9257 | Valid Acc 51.6741
2026-07-15 11:55:38 | TestSub: S15 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.6011 | Valid Loss 0.7709 | Train Acc 66.6122 | Valid Acc 49.5536
2026-07-15 11:55:47 | TestSub: S15 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5956 | Valid Loss 0.7869 | Train Acc 67.4294 | Valid Acc 50.0000
2026-07-15 11:55:57 | TestSub: S15 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5930 | Valid Loss 0.7735 | Train Acc 67.4752 | Valid Acc 52.0089
2026-07-15 11:56:06 | TestSub: S15 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5858 | Valid Loss 0.7775 | Train Acc 68.0897 | Valid Acc 52.4554
2026-07-15 11:56:16 | TestSub: S15 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5793 | Valid Loss 0.8068 | Train Acc 68.4820 | Valid Acc 51.3393
2026-07-15 11:56:25 | TestSub: S15 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5767 | Valid Loss 0.7520 | Train Acc 68.3381 | Valid Acc 52.2321
2026-07-15 11:56:35 | TestSub: S15 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5741 | Valid Loss 0.7711 | Train Acc 69.3319 | Valid Acc 51.0045
2026-07-15 11:56:44 | TestSub: S15 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5677 | Valid Loss 0.7587 | Train Acc 69.4888 | Valid Acc 52.9018
2026-07-15 11:56:54 | TestSub: S15 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5631 | Valid Loss 0.7799 | Train Acc 69.8483 | Valid Acc 53.5714
2026-07-15 11:57:03 | TestSub: S15 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5608 | Valid Loss 0.7798 | Train Acc 70.1621 | Valid Acc 52.9018
2026-07-15 11:57:13 | TestSub: S15 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5586 | Valid Loss 0.8088 | Train Acc 70.2994 | Valid Acc 52.2321
2026-07-15 11:57:23 | TestSub: S15 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5573 | Valid Loss 0.7882 | Train Acc 70.0968 | Valid Acc 52.1205
2026-07-15 11:57:32 | TestSub: S15 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5537 | Valid Loss 0.7872 | Train Acc 70.5479 | Valid Acc 54.1295
2026-07-15 11:57:42 | TestSub: S15 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5496 | Valid Loss 0.7996 | Train Acc 71.3193 | Valid Acc 54.6875
2026-07-15 11:57:51 | TestSub: S15 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5512 | Valid Loss 0.8363 | Train Acc 71.1755 | Valid Acc 51.5625
2026-07-15 11:58:01 | TestSub: S15 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5448 | Valid Loss 0.7997 | Train Acc 71.7181 | Valid Acc 53.9062
2026-07-15 11:58:11 | TestSub: S15 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5435 | Valid Loss 0.7758 | Train Acc 71.1362 | Valid Acc 54.3527
2026-07-15 11:58:20 | TestSub: S15 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5377 | Valid Loss 0.8110 | Train Acc 72.1496 | Valid Acc 54.4643
2026-07-15 11:58:30 | TestSub: S15 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5375 | Valid Loss 0.8176 | Train Acc 71.8815 | Valid Acc 54.4643
2026-07-15 11:58:40 | TestSub: S15 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5376 | Valid Loss 0.8247 | Train Acc 72.0450 | Valid Acc 53.1250
2026-07-15 11:58:50 | TestSub: S15 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5320 | Valid Loss 0.8023 | Train Acc 72.0646 | Valid Acc 54.7991
2026-07-15 11:58:59 | TestSub: S15 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5308 | Valid Loss 0.8247 | Train Acc 72.4961 | Valid Acc 53.0134
2026-07-15 11:59:09 | TestSub: S15 | Epoch 29/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5245 | Valid Loss 0.8142 | Train Acc 73.0649 | Valid Acc 53.5714
2026-07-15 11:59:19 | TestSub: S15 | Epoch 30/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5229 | Valid Loss 0.7852 | Train Acc 73.1368 | Valid Acc 57.3661
2026-07-15 11:59:29 | TestSub: S15 | Epoch 31/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5222 | Valid Loss 0.8326 | Train Acc 73.6729 | Valid Acc 55.1339
2026-07-15 11:59:38 | TestSub: S15 | Epoch 32/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5259 | Valid Loss 0.8264 | Train Acc 72.6334 | Valid Acc 54.5759
2026-07-15 11:59:48 | TestSub: S15 | Epoch 33/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5249 | Valid Loss 0.7976 | Train Acc 72.9995 | Valid Acc 54.7991
2026-07-15 11:59:58 | TestSub: S15 | Epoch 34/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5217 | Valid Loss 0.8291 | Train Acc 73.1825 | Valid Acc 56.0268
2026-07-15 12:00:08 | TestSub: S15 | Epoch 35/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5134 | Valid Loss 0.8490 | Train Acc 73.6990 | Valid Acc 54.0179
2026-07-15 12:00:17 | TestSub: S15 | Epoch 36/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5177 | Valid Loss 0.8648 | Train Acc 73.8428 | Valid Acc 54.7991
2026-07-15 12:00:27 | TestSub: S15 | Epoch 37/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5158 | Valid Loss 0.8533 | Train Acc 73.4244 | Valid Acc 52.7902
2026-07-15 12:00:36 | TestSub: S15 | Epoch 38/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5188 | Valid Loss 0.8592 | Train Acc 73.5160 | Valid Acc 52.5670
2026-07-15 12:00:46 | TestSub: S15 | Epoch 39/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5104 | Valid Loss 0.8879 | Train Acc 74.0259 | Valid Acc 52.0089
2026-07-15 12:00:55 | TestSub: S15 | Epoch 40/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5155 | Valid Loss 0.8427 | Train Acc 73.8298 | Valid Acc 53.9062
2026-07-15 12:01:05 | TestSub: S15 | Epoch 41/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5100 | Valid Loss 0.8023 | Train Acc 73.9997 | Valid Acc 55.4688
2026-07-15 12:01:14 | TestSub: S15 | Epoch 42/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5112 | Valid Loss 0.8322 | Train Acc 74.0194 | Valid Acc 54.2411
2026-07-15 12:01:24 | TestSub: S15 | Epoch 43/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5110 | Valid Loss 0.8028 | Train Acc 74.2678 | Valid Acc 57.0312
2026-07-15 12:01:33 | TestSub: S15 | Epoch 44/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5083 | Valid Loss 0.8095 | Train Acc 74.1174 | Valid Acc 55.1339
2026-07-15 12:01:43 | TestSub: S15 | Epoch 45/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5087 | Valid Loss 0.8672 | Train Acc 74.4508 | Valid Acc 53.3482
2026-07-15 12:01:52 | TestSub: S15 | Epoch 46/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5062 | Valid Loss 0.8458 | Train Acc 74.3985 | Valid Acc 55.4688
2026-07-15 12:02:02 | TestSub: S15 | Epoch 47/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5084 | Valid Loss 0.8480 | Train Acc 74.1436 | Valid Acc 54.7991
2026-07-15 12:02:11 | TestSub: S15 | Epoch 48/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5049 | Valid Loss 0.8574 | Train Acc 74.0586 | Valid Acc 54.1295
2026-07-15 12:02:21 | TestSub: S15 | Epoch 49/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5014 | Valid Loss 0.8458 | Train Acc 74.7581 | Valid Acc 54.2411
2026-07-15 12:02:30 | TestSub: S15 | Epoch 50/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4989 | Valid Loss 0.8621 | Train Acc 75.3269 | Valid Acc 54.1295
2026-07-15 12:02:40 | TestSub: S15 | Epoch 51/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.4955 | Valid Loss 0.9091 | Train Acc 74.7843 | Valid Acc 51.4509
2026-07-15 12:02:40 | --------------------------------------------------
2026-07-15 12:02:40 | Test_Subject :S15 | Best epoch:30 | Test Loss:0.7852 | Savemodel Acc 57.3661
2026-07-15 12:02:40 | --------------------------------------------------
2026-07-15 12:02:40 | Best epoch: 30 | Test acc: 57.3661
