2026-07-15 06:13:46 | Logging started: ./writer/Subject_independent_AAD/KUL/0.1s/result//Train0.1s_sub2.log
2026-07-15 06:21:18 | TestSub: S2 | Epoch  1/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5919 | Valid Loss 0.6966 | Train Acc 68.8175 | Valid Acc 66.3107
2026-07-15 06:26:47 | TestSub: S2 | Epoch  2/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5749 | Valid Loss 0.6995 | Train Acc 70.0461 | Valid Acc 66.2163
2026-07-15 06:32:21 | TestSub: S2 | Epoch  3/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5670 | Valid Loss 0.7167 | Train Acc 70.5712 | Valid Acc 66.4658
2026-07-15 06:37:42 | TestSub: S2 | Epoch  4/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5558 | Valid Loss 0.7233 | Train Acc 71.4334 | Valid Acc 66.9304
2026-07-15 06:42:51 | TestSub: S2 | Epoch  5/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5463 | Valid Loss 0.7006 | Train Acc 72.2173 | Valid Acc 67.2691
2026-07-15 06:48:01 | TestSub: S2 | Epoch  6/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5406 | Valid Loss 0.6850 | Train Acc 72.6741 | Valid Acc 66.8776
2026-07-15 06:53:12 | TestSub: S2 | Epoch  7/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5363 | Valid Loss 0.6872 | Train Acc 73.0614 | Valid Acc 67.1900
2026-07-15 06:58:49 | TestSub: S2 | Epoch  8/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5334 | Valid Loss 0.7140 | Train Acc 73.2703 | Valid Acc 67.2864
2026-07-15 07:04:18 | TestSub: S2 | Epoch  9/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5317 | Valid Loss 0.6994 | Train Acc 73.4001 | Valid Acc 67.2407
2026-07-15 07:10:06 | TestSub: S2 | Epoch 10/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5299 | Valid Loss 0.6965 | Train Acc 73.5593 | Valid Acc 67.6059
2026-07-15 07:15:25 | TestSub: S2 | Epoch 11/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5288 | Valid Loss 0.6958 | Train Acc 73.6316 | Valid Acc 67.6586
2026-07-15 07:20:41 | TestSub: S2 | Epoch 12/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5269 | Valid Loss 0.7078 | Train Acc 73.7651 | Valid Acc 67.6576
2026-07-15 07:25:52 | TestSub: S2 | Epoch 13/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5260 | Valid Loss 0.7126 | Train Acc 73.8527 | Valid Acc 67.3036
2026-07-15 07:31:29 | TestSub: S2 | Epoch 14/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5264 | Valid Loss 0.6990 | Train Acc 73.7980 | Valid Acc 67.6333
2026-07-15 07:36:54 | TestSub: S2 | Epoch 15/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5239 | Valid Loss 0.7081 | Train Acc 73.9301 | Valid Acc 67.4730
2026-07-15 07:42:18 | TestSub: S2 | Epoch 16/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5207 | Valid Loss 0.6923 | Train Acc 74.1548 | Valid Acc 67.2134
2026-07-15 07:47:52 | TestSub: S2 | Epoch 17/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5185 | Valid Loss 0.6956 | Train Acc 74.3557 | Valid Acc 67.1738
2026-07-15 07:53:46 | TestSub: S2 | Epoch 18/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5170 | Valid Loss 0.6895 | Train Acc 74.4261 | Valid Acc 67.1606
2026-07-15 07:59:17 | TestSub: S2 | Epoch 19/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5158 | Valid Loss 0.7194 | Train Acc 74.5089 | Valid Acc 67.0957
2026-07-15 08:04:52 | TestSub: S2 | Epoch 20/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5148 | Valid Loss 0.7070 | Train Acc 74.6166 | Valid Acc 67.0054
2026-07-15 08:10:09 | TestSub: S2 | Epoch 21/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5139 | Valid Loss 0.7055 | Train Acc 74.6497 | Valid Acc 67.4436
2026-07-15 08:15:26 | TestSub: S2 | Epoch 22/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5127 | Valid Loss 0.7039 | Train Acc 74.7211 | Valid Acc 67.2377
2026-07-15 08:21:08 | TestSub: S2 | Epoch 23/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5122 | Valid Loss 0.6968 | Train Acc 74.7860 | Valid Acc 67.3391
2026-07-15 08:26:31 | TestSub: S2 | Epoch 24/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5120 | Valid Loss 0.6931 | Train Acc 74.8318 | Valid Acc 67.9163
2026-07-15 08:32:07 | TestSub: S2 | Epoch 25/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5112 | Valid Loss 0.7103 | Train Acc 74.8445 | Valid Acc 67.3949
2026-07-15 08:37:51 | TestSub: S2 | Epoch 26/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5104 | Valid Loss 0.7136 | Train Acc 74.9296 | Valid Acc 67.6089
2026-07-15 08:43:30 | TestSub: S2 | Epoch 27/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5096 | Valid Loss 0.7074 | Train Acc 74.9620 | Valid Acc 67.3564
2026-07-15 08:49:10 | TestSub: S2 | Epoch 28/100 Finsh | Now_lr 0.0005/0.0005 | Train Loss 0.5093 | Valid Loss 0.7041 | Train Acc 75.0497 | Valid Acc 67.2671
